Date,Description,Category,Amount,Type,Notes,Merchant,Payment Method,Balance After Transaction,Currency,Transaction ID,Account Type,Transaction Type,Location,User ID,Transaction Rating,Time,Transaction Status
2022-06-26,Groceries at Target,Groceries,258.92,Credit,Grocery shopping,Target,Debit Card,6394.26,USD,TXN92526091,Checking,One-Time,East Lori,1056,2,16:10:57,Completed
2022-10-18,Groceries at Walmart,Groceries,456.89,Credit,Grocery shopping,Walmart,Bank Transfer,4128.34,USD,TXN31130523,Savings,Online,New Tannerville,1064,1,21:50:26,Completed
2020-04-06,McDonald's Meal,Food & Dining,23.51079887971809,Debit,Lunch at McDonald's,McDonalds,Bank Transfer,6221.89,USD,TXN39193776,Credit,Recurring,Barbaraport,1024,5,16:33:56,Completed
2022-08-13,Groceries at Walmart,Groceries,813.34,Credit,Grocery shopping,Walmart,Credit Card,734.89,USD,TXN78210000,Checking,One-Time,Kellerstad,1062,5,16:15:16,Completed
2021-11-18,Spotify Subscription,Entertainment,277.2,Credit,Music streaming,Spotify,Credit Card,8532.54,USD,TXN50620308,Credit,Recurring,Gonzalezstad,1011,1,00:06:50,Completed
2021-09-09,Netflix Subscription,Entertainment,993.42,Debit,Movie night,Netflix,Mobile Payment,7801.06,USD,TXN27489950,Checking,In-Store,Lake Mark,1004,1,19:34:01,Refunded
2022-11-28,Amazon Purchase,Shopping,880.49,Debit,Online shopping,Amazon,Mobile Payment,4251.37,USD,TXN99573330,Savings,Recurring,Lake Mark,1096,1,03:31:01,Completed
2020-08-21,Uber Ride,Transport,39.43,Credit,Ride fare,Uber,Bank Transfer,1956.8,USD,TXN67122301,Checking,Online,Davismouth,1040,1,07:37:28,
2020-10-17,Groceries at Walmart,Groceries,904.03,Debit,Grocery shopping,Walmart,Cash,1776.62,USD,TXN27932749,Savings,Online,South Christopherville,1061,1,11:17:01,Completed
2020-08-05,Amazon Purchase,Shopping,849.5,Debit,Online shopping,Amazon,Cash,4514.66,USD,TXN16307380,Credit,Online,Rodriguezside,1014,4,14:01:15,Completed
2020-03-31,Spotify Subscription,Entertainment,276.16,Debit,Music streaming,Spotify,Debit Card,3465.76,USD,TXN46947081,Credit,In-Store,Lake Mark,1004,1,06:20:39,Completed
2020-02-21,Amazon Purchase,Shopping,453.37,Debit,Online shopping,Amazon,,4999.45,USD,TXN26293869,Savings,One-Time,West Ryanborough,1095,1,08:19:54,Completed
2021-10-13,Uber Ride,Transport,10.722772250679531,Debit,Ride fare,Uber,Debit Card,7627.26,USD,TXN36675522,Checking,One-Time,Port Tammy,1069,3,01:19:50,Completed
2022-07-18,Amazon Purchase,Shopping,10.722772250679531,Debit,Online shopping,Amazon,Bank Transfer,270.65,USD,TXN13980109,Credit,In-Store,Ramoshaven,1048,1,10:16:41,Completed
2020-10-24,Lyft Ride,Transport,523.55,Credit,Commute fare,Lyft,Mobile Payment,6820.22,USD,TXN82860614,Savings,Recurring,Port Heidi,1087,3,15:25:07,Completed
2020-01-14,Spotify Subscription,Entertainment,542.86,Debit,Music streaming,Spotify,,108.15,USD,TXN46588223,Checking,Online,Masseyshire,1087,5,18:24:37,Completed
2020-09-21,McDonald's Meal,Food & Dining,23.667758835313105,Credit,Lunch at McDonald's,McDonalds,Credit Card,2476.4,USD,TXN28755165,Credit,One-Time,East Sallybury,1012,4,13:23:31,Completed
2020-09-08,Lyft Ride,Transport,325.08,Debit,Commute fare,Lyft,Bank Transfer,3463.75,USD,TXN65886102,Savings,One-Time,West Donald,1052,2,14:43:39,Completed
2021-10-05,Groceries at Walmart,Groceries,10.722772250679531,Debit,Grocery shopping,Walmart,Credit Card,3208.86,USD,TXN31399426,Savings,Online,New Tinaview,1055,2,00:05:19,Completed
